DEP,ARR,Dep Date,Best time before departure
AMS,LGW,2018-04-11 13:50:00,British Airways,"85 days, 22:41:31"
AMS,LGW,2018-04-11 19:05:00,British Airways,"86 days, 3:56:31"
AMS,LGW,2018-04-12 10:55:00,British Airways,"86 days, 21:39:44"
AMS,LGW,2018-04-12 13:50:00,British Airways,"87 days, 0:34:44"
AMS,LGW,2018-04-12 19:20:00,British Airways,"87 days, 6:04:44"
AMS,LGW,2018-04-13 10:55:00,British Airways,"87 days, 22:41:23"
AMS,LGW,2018-04-13 13:55:00,British Airways,"88 days, 1:41:23"
AMS,LGW,2018-04-13 19:15:00,British Airways,"88 days, 7:01:23"
AMS,LGW,2018-04-13 21:15:00,British Airways,"88 days, 9:01:23"
AMS,LGW,2018-04-14 10:30:00,British Airways,"88 days, 14:47:28"
AMS,LGW,2018-04-14 14:15:00,British Airways,"88 days, 18:32:28"
AMS,LGW,2018-04-14 22:15:00,British Airways,"89 days, 2:32:28"
AMS,LGW,2018-04-15 10:30:00,British Airways,"90 days, 11:18:11"
AMS,LGW,2018-04-15 21:20:00,British Airways,"90 days, 22:08:11"
AMS,LGW,2018-04-16 10:55:00,British Airways,"90 days, 19:01:36"
AMS,LGW,2018-04-16 14:35:00,British Airways,"90 days, 22:41:36"
AMS,LGW,2018-04-16 19:30:00,British Airways,"91 days, 3:36:36"
AMS,LGW,2018-04-17 10:55:00,British Airways,"91 days, 16:22:19"
AMS,LGW,2018-04-17 13:55:00,British Airways,"91 days, 19:22:19"
AMS,LGW,2018-04-17 19:15:00,British Airways,"92 days, 0:42:19"
AMS,LGW,2018-04-18 10:55:00,British Airways,"92 days, 19:26:19"
AMS,LGW,2018-04-18 13:50:00,British Airways,"92 days, 22:21:19"
AMS,LGW,2018-04-18 19:05:00,British Airways,"93 days, 3:36:19"
AMS,LGW,2018-04-19 10:55:00,British Airways,"93 days, 23:11:26"
AMS,LGW,2018-04-19 13:50:00,British Airways,"94 days, 2:06:26"
AMS,LGW,2018-04-19 19:20:00,British Airways,"94 days, 7:36:26"
AMS,LGW,2018-04-20 10:55:00,British Airways,"94 days, 15:00:40"
AMS,LGW,2018-04-20 13:55:00,British Airways,"94 days, 18:00:40"
AMS,LGW,2018-04-20 19:15:00,British Airways,"94 days, 23:20:40"
AMS,LGW,2018-04-20 21:15:00,British Airways,"95 days, 1:20:40"
AMS,LGW,2018-04-21 10:30:00,British Airways,"95 days, 17:35:24"
AMS,LGW,2018-04-21 14:15:00,British Airways,"95 days, 21:20:24"
AMS,LGW,2018-04-21 22:15:00,British Airways,"96 days, 5:20:24"
AMS,LGW,2018-04-22 10:30:00,British Airways,"97 days, 0:44:16"
AMS,LGW,2018-04-22 21:20:00,British Airways,"97 days, 11:34:16"
AMS,LGW,2018-04-23 10:55:00,British Airways,"97 days, 22:18:20"
AMS,LGW,2018-04-23 14:35:00,British Airways,"98 days, 1:58:20"
AMS,LGW,2018-04-23 19:30:00,British Airways,"98 days, 6:53:20"
AMS,LGW,2018-04-24 10:55:00,British Airways,"98 days, 22:26:03"
AMS,LGW,2018-04-24 13:55:00,British Airways,"99 days, 1:26:03"
AMS,LGW,2018-04-24 19:15:00,British Airways,"99 days, 6:46:03"
AMS,LGW,2018-04-25 10:55:00,British Airways,"99 days, 16:33:35"
AMS,LGW,2018-04-25 13:50:00,British Airways,"99 days, 19:28:35"
AMS,LGW,2018-04-25 19:05:00,British Airways,"100 days, 0:43:35"
AMS,LGW,2018-04-26 10:55:00,British Airways,"100 days, 18:33:01"
AMS,LGW,2018-04-26 13:50:00,British Airways,"100 days, 21:28:01"
AMS,LGW,2018-04-26 19:20:00,British Airways,"101 days, 2:58:01"
AMS,LGW,2018-04-27 10:55:00,British Airways,"101 days, 16:35:54"
AMS,LGW,2018-04-27 13:55:00,British Airways,"101 days, 19:35:54"
AMS,LGW,2018-04-27 19:15:00,British Airways,"102 days, 0:55:54"
AMS,LGW,2018-04-27 21:15:00,British Airways,"102 days, 2:55:54"
AMS,LGW,2018-04-28 10:30:00,British Airways,"103 days, 10:59:31"
AMS,LGW,2018-04-28 14:15:00,British Airways,"103 days, 14:44:31"
AMS,LGW,2018-04-28 22:15:00,British Airways,"103 days, 22:44:31"
AMS,LGW,2018-04-29 10:30:00,British Airways,"103 days, 21:57:26"
AMS,LGW,2018-04-29 21:20:00,British Airways,"104 days, 8:47:26"
AMS,LGW,2018-04-30 10:55:00,British Airways,"104 days, 22:32:31"
AMS,LGW,2018-04-30 14:35:00,British Airways,"105 days, 2:12:31"
AMS,LGW,2018-04-30 19:30:00,British Airways,"105 days, 7:07:31"
AMS,LGW,2018-05-01 10:55:00,British Airways,"106 days, 12:00:04"
AMS,LGW,2018-05-01 13:55:00,British Airways,"106 days, 15:00:04"
AMS,LGW,2018-05-01 19:15:00,British Airways,"106 days, 20:20:04"
AMS,LGW,2018-05-02 10:55:00,British Airways,"106 days, 15:46:45"
AMS,LGW,2018-05-02 13:50:00,British Airways,"106 days, 18:41:45"
AMS,LGW,2018-05-02 19:05:00,British Airways,"106 days, 23:56:45"
AMS,LGW,2018-05-03 10:55:00,British Airways,"107 days, 17:33:11"
AMS,LGW,2018-05-03 13:50:00,British Airways,"107 days, 20:28:11"
AMS,LGW,2018-05-03 19:20:00,British Airways,"108 days, 1:58:11"
AMS,LGW,2018-05-04 10:55:00,British Airways,"108 days, 15:48:28"
AMS,LGW,2018-05-04 13:55:00,British Airways,"108 days, 18:48:28"
AMS,LGW,2018-05-04 19:15:00,British Airways,"109 days, 0:08:28"
AMS,LGW,2018-05-04 21:15:00,British Airways,"109 days, 2:08:28"
AMS,LGW,2018-05-05 10:30:00,British Airways,"109 days, 14:57:37"
AMS,LGW,2018-05-05 14:15:00,British Airways,"109 days, 18:42:37"
AMS,LGW,2018-05-05 22:15:00,British Airways,"110 days, 2:42:37"
